title,review_value,n_user_reviews,reviewer_name,reviewer_country,date_of_review,review_text,aircraft,traveller_type,seat_type,route,date_flown,seat_comfort_rating,cabin_staff_service_rating,food_and_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommendation,clean_review_text,clean_title,review_luggage_seats,review_time_delays,review_food_bev_crew,title_money_value,title_staff_delays
"""Seat was fine with enough legroom""",7.0,8 reviews,Sander van Kan,Netherlands,2019-07-01,"✅ Trip Verified | Dusseldorf to Berlin. Eurowings flight operated by Germanwings EW9050. Flight had a slight delay of 15 minutes. Flight was smooth and good. Seat was fine with enough legroom. Food and drinks for puchase, crew was just average.",A319,Couple Leisure,Economy Class,Dusseldorf to Berlin,2019-06-01,4.0,3.0,,1.0,3.0,5.0,yes, dusseldorf berlin eurowing operate slight delay minute smooth good seat fine legroom food drink puchase crew average, seat fine legroom,0.03937860205769539,0.03494846448302269,0.9256729483604431,0.1875726282596588,0.8124273419380188
"""crew were smiling and good""",6.0,8 reviews,Sander van Kan,Netherlands,2019-07-01,✅ Trip Verified | Berlin to Dusseldorf. Eurowings flight operated by Germanwings. This A319 was a different configuration then the first flight. Legroom was less and was just enough for me (1.80m) crew were smiling and good. The flight delayed by 40 minutes.,A319,Couple Leisure,Economy Class,Berlin to Dusseldorf,2019-06-01,3.0,3.0,,1.0,3.0,5.0,yes, berlin dusseldorf eurowing operate different configuration legroom crew smile good delay minute, crew smile good,0.04847569018602371,0.04749437794089317,0.9040299654006958,0.189175084233284,0.8108249306678772
"""only two agents available""",1.0,6 reviews,Andrew Maynard ,United Kingdom,2017-01-04,"Check in process at Cologne very poor. Flight displayed as delayed 35 minutes. 45 minutes past scheduled time, announced flight cancelled with no explanation. Luggage had to be retrieved, only two agents available to process 150+ passengers. Gave up after two hours stood in line and found own hotel. Still unable to get a reason for the cancellation. I suspect there will no be months of aggravation reclaiming our costs. Arrived home 16 hours late via another airline, without any Germanwings/Eurowings assistance.",,Couple Leisure,Economy Class,CGN to MAN,2017-01-01,2.0,2.0,,,1.0,2.0,no, check process cologne poor display delay minute minute schedule time announce cancel explanation luggage retrieve agent available process passenger give hour stand line find hotel unable reason cancellation suspect month aggravation reclaim cost arrive home hour airline eurowing assistance, agent available,0.7033576965332031,0.28183841705322266,0.014803878031671047,0.23809322714805603,0.7619067430496216
"""good flight and friendly staff""",7.0,1 reviews,T Steen,Netherlands,2016-09-13,"✅ Verified Review |  Amsterdam to Stuttgart. Good flight and a friendly staff. Airplane departed and arrived on time. I booked a Smart ticket. I was able to select a seat without additional charge and they offered a snack and drink on board. The only negative part of the flight was the snack. It contains a very small sandwich, a small bottle of water and something sweet. The taste of the snack was bad, even for airplane food.",,Business,Economy Class,AMS to STR,2016-09-01,5.0,5.0,1.0,,5.0,5.0,yes, amsterdam stuttgart good friendly staff airplane depart arrive time book smart ticket able select seat additional charge offer snack drink board negative snack contain small sandwich small bottle water sweet taste snack bad airplane food, good friendly staff,0.018819868564605713,0.018551360815763474,0.9626287817955017,0.18996037542819977,0.8100396394729614
"""never been treated as badly""",1.0,,Karen Kirner,Austria,2016-08-16,✅ Verified Review |  I have been a frequent traveler for 15 years and have flown every distance and cabin from first class to budget. Yet I have never been treated as badly as on today's Germanwings flight from Düsseldorf to Vienna. The purser was outright cruel.,,Business,Economy Class,DUS to VIE,2016-08-01,1.0,1.0,,,3.0,1.0,no, frequent traveler year fly distance cabin class budget treat today düsseldorf vienna purser cruel, treat,0.03737342730164528,0.04111134633421898,0.9215152263641357,0.32155734300613403,0.678442656993866
"""very cramped""",6.0,8 reviews,Mark West,United Kingdom,2016-05-11,✅ Verified Review |  Flew Germanwings from London Stansted to Cologne Bonn. Flight delayed by over an hour at London Stansted. Inconvenience made worse by fact that this was not announced or posted on display boards (I know this is airport responsibility) so I left VIP lounge. As the departure is in different area of airport to lounge (accessible only by a mono-rail and no return allowed) this meant a long wait in a crowded gate area. Flight was full to capacity and very cramped. Normal offer of high priced beverages etc. offered during flight. Low cost option with more service and professionalism than other LCCs. I would use again.,A319,Business,Economy Class,STN to CGN,2016-04-01,1.0,3.0,2.0,,2.0,3.0,yes, fly london stanste cologne bonn delay hour london stanste inconvenience bad fact announce post display board know airport responsibility leave vip lounge departure different area airport lounge accessible mono rail return allow mean long wait crowded gate area capacity cramped normal offer high price beverage offer low cost option service professionalism lccs use, cramp,0.24840840697288513,0.03541679307818413,0.7161747813224792,0.6651052832603455,0.33489474654197693
"""staff were friendly""",10.0,,S Lueth,Germany,2016-04-11,"My boyfriend and I booked the basic fare from Hamburg to Rome Fiumicino. I didn't expect much because Germanwings is a low cost airline but it was great. The staff were friendly, when boarding was completed the pilot welcomed us all on board and although we had just booked the basic fare the stewardess gave us drinks for free. Departed and arrived on time. The first time I was in Rome I waited nearly 40 minutes for my bag but this time they were really fast. Would recommend flying with Germanwings.",,Couple Leisure,Economy Class,HAM to FCO,2015-05-01,4.0,5.0,5.0,,4.0,5.0,yes, boyfriend book basic fare hamburg rome fiumicino didn expect low cost airline great staff friendly boarding complete pilot welcome board book basic fare stewardess give drink free depart arrive time time rome wait minute bag time fast recommend e, staff friendly,0.08795998245477676,0.7420278787612915,0.17001217603683472,0.24001334607601166,0.7599866986274719
PLEASE REFER TO EUROWINGS,,,SKYTRAX Editor,United Kingdom,2016-02-08,Germanwings operations have now been transferred to and taken over by Eurowings. You can read their reviews here »  Eurowings Customer Reviews,,,,,,,,,,,,yes, operation transfer take eurowing read eurowing customer, refer eurowing,0.06651376187801361,0.12118019908666611,0.8123060464859009,0.7630842924118042,0.236915722489357
"""great value for money""",8.0,5 reviews,Szymon Opaliński,Spain,2016-01-23,"Lufthansa operated by Germanwings from Barcelona to Berlin Tegel and back. Both fights on time with very quick boarding and ground service. First flight was a 16 year old A319, plane was very clean and comfortable. The return flight on a 23 year old A320, despite the old age of the aircraft it was very clean, comfortable and showed signs of great maintenance service. You cold only tell that it was that old becouse it was considerably louder but the journey was very enjoyable. The snacks are not very good, but I can forgive that on a 2h 15 min flight. Great comfort in the seats with more legroom. Great value for money and going to try Eurowings.",A320 / A319,Solo Leisure,Economy Class,BCN to TXL,2016-01-01,5.0,5.0,3.0,,4.0,5.0,yes, operate barcelona berlin tegel fight time quick boarding ground service year old plane clean comfortable return year old old age aircraft clean comfortable show sign great maintenance service cold tell old becouse loud journey enjoyable snack good forgive min great comfort seat legroom great value money go try eurowing, great value money,0.013476899825036526,0.013587280176579952,0.9729358553886414,0.7935571670532227,0.20644278824329376
"""pay very little money""",2.0,,V Cozzi,United Kingdom,2016-01-21,"Germanwings from Bangkok to London via Cologne. Imagine to fly with Ryanair for a 12hours long fly, without any food or beverage included in your ticket. The price wasn't cheap at all to justify such a lack of service. If you would like to eat something make sure you carrying euro (only currency accepted) or credit cards to buy food they are offering. The seats feel small. One of the cabin staff was very kind but other cabin crew service was not as bright. If you fly with Germanwings, make sure you pay very little money and or fly on shorter flights. The short connecting flight from Cologne to London was good though.",A330,Couple Leisure,Economy Class,BKK to LHR via CGN,2016-01-01,2.0,2.0,1.0,2.0,1.0,1.0,no, bangkok london cologne imagine ryanair hour food beverage include ticket price wasn justify lack service like eat sure carry euro currency accept credit card buy food offer seat feel small cabin staff kind cabin crew service bright sure pay little money short short connect cologne london good, pay little money,0.5509570240974426,0.05390870198607445,0.3951342701911926,0.2472454309463501,0.7527545094490051
